,Sample,Process,Second,avg_branchinstructionrate,std_branchinstructionrate,avg_branchmispredictsrate,std_branchmispredictsrate,avg_llcrefrate,std_llcrefrate,avg_llcmissrate,std_llcmissrate
58,rust,System,13337425202,0.2114405259650582,0.012168714489035731,0.012378584511032721,0.006654945070492514,0.009719281843944598,0.00836780578891509,0.3582109762974273,0.09270751501632415
59,rust,System,13337425203,0.20309750673485913,0.02162991146969589,0.011487920370515206,0.006566979896098696,0.013261523574669695,0.020496562702643245,0.33392857142857146,0.17375110002352573
60,rust,System,13337425204,0.2115342633731681,0.01681619038332601,0.021349081576840036,0.020118939890137782,0.04106366213038269,0.03524943006919215,0.37457070707070705,0.20685835533159594
61,rust,System,13337425205,0.20348685332592903,0.043816972596831864,0.03571814637604111,0.04178544254792517,0.09148523615202023,0.07150506336847134,0.41730769230769227,0.26205030984816396
62,rust,System,13337425206,0.18426194026450995,0.0307193042444086,0.0186965811965812,0.02790077960940298,0.054391331430111406,0.04073680532393054,0.27638888888888885,0.21493251883863684
63,rust,System,13337425207,0.2035457538891488,0.040294206436506004,0.06137921934650335,0.05935040325286613,0.05867023673975469,0.044233452973120604,0.5140002784739628,0.34126200476803903
64,rust,System,13337425208,0.24194212327089706,0.07856555412692008,0.04497429880433568,0.10103900849816366,0.16268986189067372,0.11038606194147381,0.2647408963585434,0.2924920248561147
65,rust,System,13337425209,0.23053848196592927,0.061054279000086524,0.045650478418840006,0.058396405687526555,0.1381149571597118,0.09195892338380084,0.35916442048517516,0.27409423811244493
66,rust,System,13337425210,0.21299402183598104,0.09194255136552668,0.11431511863435845,0.3132002875530779,0.09277246280175665,0.08226654399501765,0.5440267335004177,0.5922231107463374
67,rust,System,13337425211,0.2124670663341968,0.035392096184024675,0.03657658876355268,0.050501346501689276,0.07023853498752858,0.05082115877506469,0.2940429785107446,0.10098846421956864
68,rust,TabTip.exe,13337425198,0.2518518518518518,0.05832598425193933,0.06666666666666667,0.09428090415820635,0.29629629629629634,0.07554102983100423,0.4166666666666667,0.11785113019775792
69,rust,TabTip.exe,13337425199,0.3125,0.0625,0.0,0.0,0.25,0.0,0.07142857142857142,0.07142857142857142
70,rust,TabTip.exe,13337425200,0.3833333333333333,0.1,0.0,0.0,0.4333333333333333,0.08164965809277261,0.2,0.4000000000000001
71,rust,TabTip.exe,13337425201,0.3611111111111111,0.10393492741038726,0.0,0.0,0.4166666666666667,0.11785113019775792,0.3333333333333333,0.4714045207910317
72,rust,TabTip.exe,13337425210,0.24047619047619048,0.1343076645349567,0.03333333333333333,0.047140452079103175,0.2329365079365079,0.12225957994317287,0.0,0.0
73,rust,TabTip.exe,13337425211,0.2,0.0,0.5,0.0,0.1,0.0,1.0,0.0
74,rust,TextInputHost.exe,13337425198,0.18666666666666668,0.0,0.07142857142857142,0.0,0.16,0.0,0.08333333333333333,0.0
75,rust,TextInputHost.exe,13337425199,0.2756892230576441,0.013784461152882205,0.13636363636363635,0.045454545454545456,0.15162907268170425,0.03258145363408521,0.17142857142857143,0.02857142857142858
76,rust,TextInputHost.exe,13337425200,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0
77,rust,TextInputHost.exe,13337425203,0.13333333333333333,0.0,0.0,0.0,0.13333333333333333,0.0,0.5,0.0
78,rust,TextInputHost.exe,13337425210,0.26993316600951806,0.0936315071333477,0.06623931623931624,0.06794065425463523,0.1382025109490645,0.022431971367807953,0.03571428571428571,0.06185895741317418
79,rust,TextInputHost.exe,13337425211,0.17647058823529413,0.0,0.1111111111111111,0.0,0.11764705882352941,0.0,0.16666666666666666,0.0
80,rust,Unknown,13337425196,0.26039783001808314,0.025316455696202528,0.0038461538461538464,0.0038461538461538464,0.08318264014466546,0.059674502712477394,0.11538461538461539,0.11538461538461539
81,rust,Unknown,13337425198,0.2548087313594121,0.030905554354873563,0.010135135135135136,0.010135135135135136,0.07861465312297385,0.064242489734169,0.7368421052631579,0.2631578947368421
82,rust,Unknown,13337425199,0.3,0.0,0.0,0.0,0.1,0.0,0.0,0.0
83,rust,Unknown,13337425200,0.2857142857142857,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0
84,rust,Unknown,13337425201,0.2857142857142857,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0
85,rust,Unknown,13337425202,0.22181792110037235,0.002374721071259937,0.01591895122955278,0.004029459961119559,0.010959936678780957,0.00268778804868951,0.5000000000000001,0.125
86,rust,Unknown,13337425203,0.2098513474213152,0.019690610499686338,0.013359871516131043,0.007003558286301512,0.01946142679216793,0.0285668733942978,0.4753718503718504,0.24935374052757214
87,rust,Unknown,13337425204,0.2262239250744998,0.0009365687526607103,0.024807749186631173,0.007800946465542738,0.011068539804171988,0.0011919965942954452,0.4375,0.0625
88,rust,Unknown,13337425205,0.21765260633578154,0.00697236187612955,0.009719961308891877,0.006884944523901221,0.012985009282162717,0.009186392709281569,0.4444444444444444,0.07856742013183862
89,rust,Unknown,13337425206,0.2163934426229508,0.06804247888184084,0.041256446319737454,0.04966429520893251,0.05806010928961749,0.05425991498145182,0.8787878787878788,0.8342969635112851
90,rust,Unknown,13337425207,0.2145007507550693,0.022791407165973585,0.08819744853000079,0.08612651188621634,0.03064219796479685,0.02304270060076326,0.24122807017543857,0.2632675210255951
91,rust,Unknown,13337425208,0.23076923076923078,0.0,0.16666666666666666,0.0,0.11538461538461539,0.0,0.0,0.0
92,rust,Unknown,13337425210,0.2,0.0,0.0,0.0,0.26666666666666666,0.0,0.0,0.0
93,rust,Unknown,13337425211,0.23295454545454544,0.0,0.0,0.0,0.017045454545454544,0.0,0.3333333333333333,0.0
94,rust,WUDFHost.exe,13337425196,0.2,0.0,0.0,0.0,0.8,0.0,0.75,0.0
95,rust,WUDFHost.exe,13337425197,0.13055555555555554,0.019444444444444445,0.0,0.0,0.08055555555555555,0.03055555555555555,1.0,1.0
96,rust,WUDFHost.exe,13337425198,0.22727272727272727,0.0,0.0,0.0,0.6363636363636364,0.0,1.0,0.0
97,rust,WUDFHost.exe,13337425199,0.2311582247153935,0.028412000006161793,0.08333333333333333,0.14433756729740643,0.6820739151955123,0.5582373512497281,0.5560897435897436,0.3555634366678737
98,rust,WUDFHost.exe,13337425200,0.20023148148148148,0.0359542235347432,0.08333333333333333,0.1863389981249825,0.11458333333333333,0.030468626345111532,0.5,0.5
